Title,Content Rating,Rating Description,Content Rating Numerical,Release Year,User Rating Score,Children Show
LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,Yes
Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,Yes
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,Yes
Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,Yes
Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,Yes
Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,Yes
Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,Yes
LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,Yes
Word Party,TV-Y,Suitable for all ages.,10,2016,NA,Yes
VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,NA,Yes
Puffin Rock,TV-Y,Suitable for all ages.,10,2016,NA,Yes
Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,NA,Yes
Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,NA,Yes
Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,NA,Yes
Minimalism: A Documentary About the Important Things,TV-PG,"",70,2016,NA,Yes
The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Ripper Street,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Pandora,TV-MA,"",110,2016,NA,No
O Amor no Diṿ,TV-MA,"",110,2016,NA,No
Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Lazy Eye,TV-MA,"",110,2016,NA,No
Hurricane Bianca,TV-MA,"",110,2016,NA,No
Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Boy Bye,TV-MA,"",110,2016,NA,No
BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Better Off Single,TV-MA,"",110,2016,NA,No
A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
3,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,No
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,Yes
Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
The Wedding Party,TV-14,"",90,2016,NA,No
The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,No
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,Yes
Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,NA,Yes
Quackerz,PG,"rude and suggestive humor, and some action",60,2016,NA,Yes
Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,NA,Yes
Stronger Than the World,NR,"",124,2016,NA,No
Like Cotton Twines,NR,"",124,2016,NA,No
I.T,NR,"",124,2016,NA,No
Back and Forth,NR,This movie has not been rated.,124,2016,NA,No
Almost Adults,NR,This movie has not been rated.,124,2016,NA,No
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,Yes
Pup Star,G,General Audiences. Suitable for all ages.,35,2016,NA,Yes
Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,Yes
