RestaurantName,Style,Price,Address,Average Rating
Mother Wolf,Italian,$$$$,"1545 Wilcox Ave Los Angeles, CA 90028",3.9
Perch,"Lounges, French, Breakfast & Brunch",$$$,"448 S Hill St Los Angeles, CA 90013",4.1
Cento,"Italian, Mediterranean, Tapas/Small Plates",$$,"4921 W Adams Blvd Los Angeles, CA 90016",4.5
Superba Food + Bread,"American (New), Breakfast & Brunch, Bakeries",,"6530 Sunset Blvd Los Angeles, CA 90028",4.4
Good Goose Cafe,"Asian Fusion, Thai, Vegetarian",$$,"5210 Beverly Blvd Los Angeles, CA 90004",4.8
Jon & Vinny's Fairfax,"Italian, Breakfast & Brunch, Pizza",$$,"412 N Fairfax Ave Los Angeles, CA 90036",3.8
CHD MANDU LA,Korean,$$,"3377 Wilshire Blvd Ste 104 Los Angeles, CA 90010",4.6
DAMA,"Latin American, Cocktail Bars, Wine Bars",$$$,"612 E 11th St Los Angeles, CA 90015",4.4
Ghost Sando Shop,"Sandwiches, Delis",$$,"7801 Melrose Ave Ste 1A Los Angeles, CA 90046",4.8
Farmhouse Kitchen Thai Cuisine,"Wine Bars, Thai, Cocktail Bars",,"5560 W Adams Blvd Los Angeles, CA 90016",4.4
Enchant,"Asian Fusion, Breakfast & Brunch, Wine Bars",,"681 S Western Ave Los Angeles, CA 90005",3.7
Pigya,"Korean, Barbeque",,"3400 W 8th St Los Angeles, CA 90005",4.4
Tonchin LA,"Ramen, Cocktail Bars, Chicken Wings",$$,"5665 Melrose Ave Los Angeles, CA 90038",4.4
Fixins Soul Kitchen - Los Angeles,"Soul Food, Comfort Food, American (Traditional)",$$,"800 W Olympic Blvd Ste A150 Los Angeles, CA 90015",4.4
Bestia,"Italian, Cocktail Bars, Pizza",$$$,"2121 E 7th Pl Los Angeles, CA 90021",4.3
Little Pan - Los Angeles,Dim Sum,,"3742 S Figueroa St Los Angeles, CA 90007",4.8
Cara Cara,"American (New), Cocktail Bars",,"1100 S Broadway Los Angeles, CA 90015",3.9
